scene_id,object_count,front_object_count,vulnerable_count,vehicle_count,close_object_count,occluded_count,truncated_count,min_distance_m,mean_distance_m,min_lateral_abs_m,max_bbox_area_norm,mean_occlusion,mean_truncation,camera_quality_proxy,lidar_geometry_quality_proxy,uncertainty_proxy,risk_prior,max_abs_alpha,critical_scene,split
000058,1,1,1,0,1,0,0,7.455,7.455,1.56,0.030983,0.0,0.0,1.0,0.961,0.018,0.759,2.94,1,train
000059,5,2,0,5,0,2,0,24.817,36.358,1.33,0.014472,0.333,0.038,0.526,0.619,0.432,0.479,2.4,0,validation
000060,4,1,1,3,1,0,0,21.034,47.635,0.78,0.008558,0.083,0.0,0.883,0.805,0.152,0.564,1.95,0,train
000061,6,0,0,5,0,5,1,14.653,29.396,9.76,0.057838,0.833,0.163,0.136,0.672,0.622,0.626,1.76,0,train
000062,5,3,1,4,1,0,0,20.018,36.359,0.67,0.017442,0.133,0.0,0.883,0.811,0.149,0.57,1.86,1,train
000063,4,2,1,3,2,2,0,10.441,19.863,2.57,0.055183,0.333,0.0,0.767,0.778,0.228,0.746,2.55,1,train
000064,4,2,0,4,1,0,0,13.89,24.646,2.65,0.131099,0.167,0.0,0.883,0.843,0.135,0.491,2.01,0,validation
000065,9,7,6,3,5,6,0,6.52,20.741,0.16,0.053095,0.519,0.012,0.695,0.799,0.258,0.733,2.7,1,train
000066,2,1,0,2,0,0,0,31.778,36.384,0.19,0.003135,0.0,0.0,1.0,0.832,0.076,0.458,1.75,0,validation
000067,7,2,0,7,1,3,0,12.413,38.666,1.16,0.188404,0.286,0.006,0.741,0.768,0.247,0.588,2.2,0,train
000068,12,6,2,10,3,2,2,5.391,26.316,2.28,0.136447,0.333,0.168,0.136,0.805,0.563,0.762,2.34,1,train
000069,2,0,0,2,0,0,0,18.501,40.702,7.02,0.034347,0.167,0.0,0.883,0.819,0.146,0.457,2.73,0,train
000070,1,1,1,0,1,0,0,6.896,6.896,0.29,0.043649,0.0,0.0,1.0,0.963,0.016,0.821,2.98,1,test
000071,2,1,0,2,1,0,0,19.587,51.762,0.51,0.009451,0.0,0.0,1.0,0.896,0.047,0.586,1.57,0,test
000072,3,1,0,3,0,0,0,13.248,25.997,0.01,0.037633,0.111,0.083,0.721,0.847,0.223,0.522,2.26,0,train
000073,7,4,7,0,2,0,0,6.992,18.195,2.28,0.030899,0.048,0.0,0.883,0.88,0.118,0.704,2.62,1,test
000074,3,2,3,0,2,0,0,6.301,7.19,1.18,0.047098,0.0,0.0,1.0,0.967,0.015,0.784,1.21,1,train
000075,6,5,0,5,4,1,1,3.303,22.5,0.86,0.093909,0.278,0.202,0.117,0.816,0.569,0.66,2.59,1,train
000076,9,6,9,0,6,2,0,5.5,14.58,0.26,0.095599,0.185,0.031,0.585,0.804,0.317,0.75,2.63,1,train
000077,1,1,0,1,0,0,0,39.627,39.627,0.77,0.00265,0.0,0.0,1.0,0.79,0.094,0.441,1.74,0,train
000078,4,2,0,4,0,0,1,6.86,26.089,1.72,0.167257,0.083,0.165,0.454,0.88,0.354,0.587,2.02,0,train
000079,7,2,0,7,1,3,0,10.932,38.249,1.05,0.172634,0.286,0.023,0.663,0.775,0.287,0.574,2.18,1,train
000080,4,1,0,4,0,0,0,24.09,41.77,0.02,0.008064,0.083,0.0,0.883,0.789,0.159,0.543,1.74,0,test
000081,4,1,0,4,0,0,1,18.005,50.585,0.32,0.18198,0.167,0.185,0.402,0.821,0.409,0.546,1.58,0,train
000082,2,0,0,2,0,0,1,27.128,45.884,9.55,0.057654,0.0,0.32,0.584,0.856,0.293,0.45,1.62,0,validation
000083,6,4,0,6,3,0,1,4.065,19.633,0.43,0.132282,0.111,0.162,0.253,0.895,0.458,0.673,2.04,1,train
000084,2,0,0,2,0,1,0,28.284,35.607,4.99,0.004736,0.333,0.0,0.767,0.684,0.271,0.391,1.55,0,train
000085,4,1,2,2,1,1,1,7.574,14.183,1.96,0.166692,0.25,0.292,0.065,0.71,0.645,0.674,2.42,1,validation
000086,7,0,0,7,0,3,2,7.906,22.448,4.13,0.082119,0.476,0.221,0.156,0.791,0.558,0.629,3.1,0,train
000087,6,1,1,5,0,0,0,19.781,51.642,3.11,0.03239,0.111,0.0,0.883,0.812,0.149,0.448,3.11,0,train
000088,1,0,0,1,0,0,0,21.145,21.145,8.88,0.023617,0.333,0.0,0.883,0.805,0.152,0.466,0.49,0,train
000089,6,6,0,6,4,1,1,7.488,19.745,2.33,0.398829,0.333,0.068,0.5,0.794,0.368,0.619,1.96,1,test
000090,1,0,0,1,0,0,0,23.518,23.518,14.21,0.01825,0.0,0.0,1.0,0.875,0.056,0.423,1.82,0,train
000091,2,0,1,1,0,0,0,19.837,30.721,6.46,0.006874,0.0,0.0,1.0,0.895,0.047,0.588,1.89,0,test
000092,6,0,0,6,0,2,1,24.446,33.15,4.03,0.011065,0.333,0.11,0.221,0.621,0.599,0.517,2.53,0,train
000093,6,2,0,6,0,0,1,8.599,29.118,0.59,0.130929,0.167,0.068,0.617,0.871,0.269,0.582,2.1,0,train
000094,1,1,0,1,1,0,0,19.301,19.301,2.33,0.011779,0.0,0.0,1.0,0.898,0.046,0.505,1.72,0,validation
000095,15,2,0,15,1,5,0,14.087,36.421,0.52,0.040464,0.378,0.0,0.767,0.759,0.237,0.587,2.45,0,test
000096,5,2,0,5,2,2,0,8.851,17.952,2.62,0.130939,0.333,0.0,0.767,0.786,0.224,0.585,1.76,1,train
000097,2,0,0,2,0,0,0,57.057,57.854,4.6,0.001354,0.0,0.0,1.0,0.698,0.136,0.28,1.85,0,train
000098,7,1,0,5,1,0,1,5.295,33.008,2.56,0.178977,0.143,0.143,0.233,0.889,0.472,0.545,1.54,0,test
000099,10,2,0,10,1,1,2,6.615,26.233,2.32,0.160944,0.233,0.107,0.26,0.715,0.535,0.584,2.14,0,train
000100,4,1,2,2,1,1,1,8.902,15.508,2.13,0.217275,0.167,0.158,0.357,0.786,0.45,0.661,2.46,1,train
000101,3,1,0,3,1,1,0,19.471,26.642,0.22,0.013038,0.333,0.1,0.455,0.647,0.459,0.6,2.22,0,train
000102,3,0,0,2,0,1,1,21.056,30.189,13.39,0.008121,0.333,0.22,0.286,0.639,0.555,0.54,1.81,0,train
000103,1,0,1,0,0,0,0,9.892,9.892,3.76,0.020031,0.0,0.0,1.0,0.948,0.024,0.654,2.81,0,validation
000104,7,2,0,7,1,2,0,16.046,35.906,1.55,0.029452,0.381,0.0,0.767,0.748,0.242,0.506,2.13,0,train
000105,2,1,1,1,1,0,0,6.055,35.48,3.28,0.148951,0.0,0.095,0.876,0.968,0.082,0.705,2.18,1,train
000106,4,1,0,4,0,0,0,16.828,35.801,0.38,0.039097,0.25,0.02,0.831,0.828,0.17,0.501,2.18,0,train
000107,8,8,0,7,5,5,1,5.003,25.401,2.36,0.174293,0.458,0.101,0.24,0.807,0.505,0.655,2.08,1,validation
000108,3,1,1,2,1,2,0,13.112,13.986,0.14,0.38961,0.667,0.063,0.526,0.681,0.404,0.698,1.96,0,train
000109,1,1,1,0,1,0,0,9.19,9.19,2.93,0.020619,0.0,0.0,1.0,0.951,0.022,0.685,2.75,1,train
000110,12,3,0,12,1,4,1,9.865,35.279,0.39,0.142624,0.361,0.079,0.208,0.698,0.572,0.536,2.5,0,train
000111,14,1,0,14,0,5,1,6.139,39.917,0.16,0.0322,0.357,0.069,0.136,0.801,0.565,0.617,1.85,0,train
000112,10,0,0,10,0,5,3,8.086,18.983,4.53,0.100842,0.5,0.221,0.039,0.707,0.66,0.601,2.85,0,train
000113,18,5,0,15,1,3,3,3.263,31.453,1.24,0.161823,0.296,0.164,0.0,0.733,0.67,0.668,2.45,1,train
000114,12,4,2,10,3,8,0,14.878,29.148,0.35,0.026392,0.556,0.0,0.65,0.671,0.34,0.701,2.78,1,train
000115,1,0,0,1,0,0,0,47.527,47.527,7.32,0.00314,0.333,0.0,0.883,0.665,0.215,0.307,2.98,0,validation
000116,4,3,0,4,2,0,0,8.519,25.489,1.36,0.161145,0.0,0.0,1.0,0.955,0.02,0.532,1.72,1,validation
000117,8,0,0,8,0,5,0,11.069,21.287,4.13,0.080479,0.458,0.02,0.663,0.775,0.287,0.545,3.0,0,train
000118,7,6,5,2,4,5,0,8.646,22.014,0.64,0.034098,0.524,0.0,0.767,0.788,0.224,0.716,2.67,1,train
000119,5,1,1,4,1,2,0,13.895,22.685,1.53,0.018211,0.267,0.0,0.767,0.76,0.236,0.627,1.97,0,validation
000120,10,3,0,10,1,1,1,4.752,19.617,2.91,0.124381,0.267,0.106,0.117,0.808,0.572,0.628,2.56,0,train
000121,5,2,0,5,0,1,0,29.392,48.825,1.87,0.006475,0.267,0.0,0.767,0.678,0.273,0.411,2.08,0,train
000122,4,1,1,3,1,2,0,16.274,22.09,0.11,0.282655,0.583,0.0,0.65,0.664,0.344,0.664,1.9,0,train
000123,1,1,0,1,0,0,0,48.734,48.734,0.6,0.001557,0.0,0.0,1.0,0.742,0.116,0.413,1.68,0,train
000124,5,2,3,2,0,0,0,40.923,53.805,0.36,0.005513,0.067,0.0,0.883,0.7,0.199,0.564,3.12,0,test
000125,7,1,0,7,1,2,0,7.011,42.655,0.1,0.099372,0.238,0.001,0.76,0.796,0.224,0.689,2.58,1,train
000126,2,1,0,2,0,1,0,16.337,30.03,3.15,0.020768,0.5,0.0,0.65,0.664,0.344,0.471,2.03,0,train
000127,11,2,2,9,0,0,0,13.754,45.687,0.9,0.030909,0.152,0.023,0.721,0.844,0.224,0.586,3.12,0,train
000128,2,1,0,2,0,0,0,23.882,37.307,1.84,0.031415,0.0,0.0,1.0,0.874,0.057,0.421,2.17,0,train
000129,7,0,0,7,0,1,0,17.061,40.824,6.6,0.046717,0.19,0.0,0.767,0.743,0.244,0.466,2.15,0,validation
000130,1,1,1,0,1,0,0,8.905,8.905,2.87,0.033314,0.0,0.0,1.0,0.953,0.021,0.689,0.31,1,train
000131,7,2,0,7,0,3,0,22.8,41.498,0.38,0.017738,0.333,0.0,0.767,0.713,0.258,0.455,2.43,0,train
000132,3,0,0,3,0,0,0,30.892,53.854,6.55,0.004135,0.111,0.0,0.883,0.753,0.175,0.374,1.69,0,test
000133,1,0,0,1,0,0,0,52.51,52.51,7.78,0.002862,0.333,0.0,0.883,0.639,0.227,0.307,0.24,0,train
000134,15,2,12,3,2,1,1,13.071,23.864,0.77,0.03353,0.222,0.029,0.487,0.764,0.388,0.714,3.01,1,validation
000135,8,1,0,8,0,2,0,23.177,34.431,2.87,0.012149,0.417,0.013,0.585,0.627,0.396,0.461,1.83,0,train
000136,6,1,0,6,0,1,1,7.337,27.763,3.1,0.130249,0.278,0.072,0.487,0.794,0.375,0.565,2.19,0,train
000137,6,1,0,5,0,1,0,23.49,52.914,0.07,0.096372,0.278,0.023,0.559,0.626,0.411,0.515,2.12,0,train
000138,7,1,0,7,0,0,0,17.753,40.828,0.24,0.016398,0.048,0.0,0.883,0.823,0.144,0.503,1.97,0,test
000139,3,2,0,3,0,1,0,27.198,49.832,0.16,0.019453,0.333,0.0,0.65,0.606,0.37,0.479,2.07,0,validation
000140,4,2,0,4,1,1,0,16.756,25.269,1.45,0.020943,0.167,0.0,0.767,0.745,0.243,0.478,1.77,0,test
000141,1,1,0,1,1,0,0,15.914,15.914,2.94,0.021207,0.0,0.0,1.0,0.916,0.038,0.5,1.79,0,train
000142,14,8,5,9,5,2,3,5.865,21.781,0.06,0.180653,0.262,0.147,0.279,0.802,0.485,0.76,2.28,1,train
000143,4,1,0,4,0,0,0,31.602,53.218,0.88,0.013016,0.25,0.0,0.883,0.749,0.177,0.4,2.7,0,train
000144,7,2,4,3,1,0,2,4.538,19.486,2.15,0.146122,0.095,0.2,0.272,0.893,0.449,0.65,2.18,1,test
000145,15,3,11,4,2,3,0,9.197,29.779,0.72,0.057555,0.222,0.003,0.734,0.785,0.243,0.718,2.68,1,validation
000146,17,8,1,16,5,12,2,4.068,23.648,0.22,0.144244,0.569,0.106,0.026,0.728,0.658,0.75,2.67,1,validation
000147,2,1,1,1,1,1,0,15.107,16.841,3.31,0.02898,0.333,0.0,0.767,0.753,0.239,0.596,1.8,1,test
000148,1,0,0,1,0,0,0,43.695,43.695,12.19,0.004984,0.333,0.0,0.883,0.685,0.206,0.315,2.39,0,train
000149,11,8,1,10,3,5,0,10.603,31.906,0.31,0.055224,0.394,0.0,0.767,0.777,0.229,0.643,1.87,1,train
000150,4,1,1,3,0,0,0,25.219,36.401,0.66,0.005484,0.0,0.0,1.0,0.866,0.06,0.542,1.96,0,train
000151,4,1,2,2,1,0,2,4.612,16.893,3.17,0.10974,0.167,0.458,0.259,0.892,0.456,0.675,1.6,1,validation
000152,8,7,0,7,6,2,1,6.792,20.841,2.09,0.180123,0.25,0.076,0.539,0.797,0.345,0.605,1.93,1,test
000153,4,3,3,1,1,0,1,3.911,24.469,1.13,0.003367,0.0,0.247,0.357,0.979,0.363,0.804,2.03,1,validation
000154,9,2,2,7,0,1,1,12.34,34.685,0.19,0.046784,0.222,0.044,0.507,0.768,0.376,0.696,2.88,0,validation
000155,5,0,0,4,0,1,0,27.407,42.2,6.76,0.011851,0.2,0.0,0.767,0.688,0.269,0.405,1.92,0,train
000156,2,1,1,1,1,0,1,7.934,11.368,2.47,0.056562,0.0,0.345,0.552,0.958,0.266,0.714,2.6,1,test
000157,11,3,1,7,3,3,2,9.811,19.387,1.13,0.141214,0.273,0.126,0.162,0.781,0.559,0.685,2.51,1,train
000158,1,0,0,1,0,0,0,36.975,36.975,21.09,0.011805,0.333,0.0,0.883,0.721,0.19,0.36,3.0,0,train
000159,8,2,0,8,0,3,1,7.57,27.297,0.6,0.094815,0.333,0.089,0.305,0.793,0.475,0.613,2.22,0,train
000160,4,3,0,4,0,0,0,27.029,44.874,0.05,0.005112,0.0,0.0,1.0,0.857,0.064,0.532,1.91,0,train
000161,13,1,0,13,0,8,2,14.102,29.79,3.36,0.045722,0.513,0.111,0.111,0.675,0.635,0.486,2.84,0,validation
000162,5,1,1,4,1,1,0,22.262,39.55,0.26,0.011928,0.133,0.0,0.767,0.715,0.256,0.58,1.78,0,train
000163,7,0,0,7,0,4,0,18.416,29.747,6.23,0.032059,0.476,0.0,0.767,0.736,0.247,0.481,2.95,0,validation
000164,4,1,1,3,1,0,0,21.453,40.707,0.75,0.00819,0.083,0.0,0.883,0.803,0.153,0.563,2.09,0,test
000165,10,3,0,10,1,9,1,7.008,22.769,0.06,0.182679,0.733,0.094,0.117,0.713,0.615,0.679,2.27,0,train
000166,4,1,0,4,0,0,1,27.907,46.084,0.62,0.00458,0.083,0.172,0.435,0.769,0.415,0.526,2.3,0,validation
000167,3,0,3,0,0,2,0,12.28,26.597,3.96,0.014807,0.667,0.0,0.65,0.685,0.334,0.638,2.05,0,validation
000168,5,2,0,5,0,1,0,27.845,38.91,1.39,0.007109,0.133,0.0,0.767,0.686,0.27,0.491,2.52,0,train
000169,16,4,1,15,2,11,2,7.237,24.901,2.49,0.143461,0.5,0.094,0.078,0.712,0.637,0.625,2.98,1,validation
000170,3,0,0,3,0,0,0,29.716,53.548,6.53,0.004652,0.0,0.0,1.0,0.843,0.071,0.382,1.51,0,train
000171,4,1,0,4,1,1,0,17.72,29.149,0.09,0.024298,0.25,0.015,0.611,0.656,0.369,0.618,2.2,0,train
000172,9,7,0,9,3,2,1,5.573,25.245,0.1,0.17355,0.259,0.081,0.312,0.804,0.467,0.632,2.12,1,validation
000173,7,4,0,7,4,2,2,4.088,15.987,0.07,0.141719,0.429,0.221,0.02,0.728,0.662,0.735,2.07,1,train
000174,3,0,0,2,0,0,0,16.832,25.986,8.48,0.015679,0.0,0.0,1.0,0.911,0.04,0.443,1.76,0,train
000175,3,0,0,3,0,0,0,27.138,32.657,5.25,0.016798,0.222,0.0,0.883,0.773,0.166,0.426,3.0,0,test
000176,5,5,0,5,3,0,1,4.285,21.086,0.84,0.140273,0.133,0.186,0.279,0.894,0.444,0.672,2.15,1,train
000177,8,1,6,2,1,0,0,10.248,21.722,1.73,0.059691,0.042,0.0,0.883,0.862,0.126,0.652,2.86,1,validation
000178,8,6,0,8,4,1,1,4.548,24.539,0.53,0.138655,0.208,0.116,0.162,0.809,0.547,0.652,2.24,1,test
000179,5,1,1,4,1,0,0,20.034,34.559,0.38,0.036403,0.0,0.0,1.0,0.894,0.048,0.589,2.06,0,test
000180,2,0,0,2,0,0,0,52.317,58.054,4.94,0.003369,0.167,0.0,0.883,0.64,0.226,0.307,1.67,0,train
000181,13,5,0,13,3,7,0,6.852,29.401,3.16,0.156372,0.41,0.045,0.559,0.797,0.334,0.575,3.14,1,train
000182,3,1,0,3,0,0,0,8.624,17.92,3.41,0.113545,0.111,0.027,0.831,0.871,0.151,0.529,1.97,0,train
000183,8,5,0,7,3,3,1,4.335,27.676,0.48,0.161523,0.292,0.121,0.136,0.81,0.56,0.661,2.62,1,test
000184,6,1,0,5,0,1,0,10.477,37.128,1.2,0.052244,0.167,0.04,0.611,0.778,0.314,0.449,2.74,0,test
000185,6,6,0,6,3,0,1,4.328,22.679,0.05,0.127101,0.222,0.167,0.246,0.894,0.462,0.648,2.28,1,train
000186,9,3,1,8,1,2,2,4.826,34.435,2.95,0.13899,0.333,0.174,0.182,0.808,0.537,0.669,3.07,1,validation
000187,1,0,1,0,0,0,0,18.707,18.707,8.49,0.0069,0.0,0.0,1.0,0.901,0.045,0.595,2.06,0,train
000188,4,2,0,4,1,0,0,13.455,25.387,0.35,0.050305,0.0,0.0,1.0,0.929,0.032,0.603,1.84,0,train
000189,5,4,5,0,4,0,0,10.671,16.573,0.05,0.011591,0.067,0.0,0.883,0.86,0.127,0.778,2.33,1,train
000190,4,3,2,2,3,2,1,5.748,12.928,1.44,0.069437,0.5,0.158,0.24,0.72,0.544,0.812,2.29,1,train
000191,10,2,0,10,1,3,2,4.461,26.441,0.64,0.071576,0.3,0.154,0.123,0.81,0.568,0.629,1.57,0,train
000192,9,1,0,7,0,2,2,12.675,29.153,1.07,0.090249,0.296,0.128,0.247,0.683,0.557,0.593,1.57,0,train
000193,1,0,1,0,0,0,0,8.903,8.903,5.01,0.04202,0.0,0.0,1.0,0.953,0.021,0.661,2.52,0,train
000194,3,2,1,2,1,1,0,21.185,31.541,0.39,0.009332,0.222,0.0,0.767,0.721,0.254,0.533,1.75,0,validation
000195,2,0,2,0,0,1,0,13.37,28.342,4.69,0.010571,0.5,0.0,0.65,0.679,0.337,0.631,1.63,0,train
000196,2,1,0,1,0,0,0,34.58,43.784,2.2,0.002971,0.0,0.0,1.0,0.817,0.082,0.409,1.61,0,train
000197,6,2,0,6,1,1,0,14.184,29.532,2.95,0.038964,0.333,0.0,0.767,0.758,0.237,0.521,2.0,0,train
000198,3,0,0,3,0,0,1,11.574,15.036,5.26,0.055955,0.111,0.323,0.253,0.855,0.476,0.58,2.27,0,train
000199,1,1,1,0,1,0,0,8.028,8.028,2.89,0.025663,0.0,0.0,1.0,0.957,0.019,0.694,2.8,1,test
000200,4,2,1,2,2,0,0,8.07,18.986,0.64,0.06585,0.083,0.0,0.883,0.874,0.121,0.69,2.71,1,validation
000201,12,6,4,8,4,2,2,3.021,26.833,1.08,0.185543,0.222,0.121,0.117,0.817,0.568,0.668,2.75,1,train
000202,1,0,0,1,0,0,0,45.738,45.738,3.68,0.001707,0.0,0.0,1.0,0.758,0.109,0.28,1.65,0,train
000203,3,1,1,2,0,1,0,17.994,45.773,0.65,0.008246,0.333,0.0,0.65,0.655,0.348,0.68,1.87,0,train
000204,5,1,0,4,0,1,0,28.036,52.191,0.2,0.009958,0.267,0.0,0.65,0.602,0.372,0.431,2.05,0,train
000205,3,2,0,2,0,0,0,24.788,40.342,3.4,0.008704,0.111,0.0,0.883,0.785,0.161,0.415,1.89,0,train
